name,rating,method,style,flavor,fermentation,country,split,abv,pasteurization
krombacher radler 2.5,7.0,industrial,pils,lemon,bottom,germany,test,2.5,pasteurized
monchshof natur radler 2.5,8.0,industrial,keller,lemon,bottom,germany,test,2.5,unpasteurized
oettinger leicht 2.8,7.0,industrial,lager,standard,bottom,germany,test,2.8,pasteurized
oettinger weizen grapefruit 2.5,6.0,industrial,wheat,fruit,top,germany,test,2.5,pasteurized
perlenbacher extra herbes 2.5,7.0,industrial,lager,herb,bottom,germany,test,2.5,pasteurized
schofferhofer granatapfel guarana 2.5,7.0,industrial,wheat,fruit,top,germany,test,2.5,pasteurized
schofferhofer zitrone weizen-mix 2.5,9.0,industrial,wheat,lemon,top,germany,test,2.5,pasteurized
veltins grapefruit zitrone 2.0,7.0,industrial,pils,lemon,bottom,germany,test,2.0,pasteurized
veltins lemon grapefruit 2.7,8.0,industrial,pils,lemon,bottom,germany,test,2.7,pasteurized
